event_id,date,year,sample_date,player1,player2,start_at,opening_at,y,label_available_at,label_source_date,odds_a,odds_b,market_p,market_logit,kernel_p,structure_gap,workload_total,workload_difference,hold1,hold2,kernel_residual,history_sets_player1,history_sets_player2,history_missing_player1,history_missing_player2,current_event_history_inconsistency,source_sha256,history_feature_sha256,close_a,close_b,closing_valid,close_a_at,close_b_at
te:1917569,2021-01-26,2021,2021-01-26,lestienne,kudla,2021-01-26T17:15:00+00:00,2021-01-24T07:37:00+00:00,0.0,2021-01-28T23:00:00+00:00,2021-01-26,1.76,2.02,0.5343915343915343,0.13778370236305265,0.6133125007734014,0.3234740215735437,0.0,0.0,0.5684718812872254,0.6039148755004132,5.614114728658137e-11,7,2,False,False,False,b03e87a9a14bf9b0823de7b9b962085d7f5cc9f4424bc833c964fd066be33290,b40879190053d5aadc2bb2ecfa418a55b70fad38aea954c27942f2775f0b87f2,1.57,2.3,True,2021-01-26T16:28:00+00:00,2021-01-26T16:41:00+00:00
te:1917571,2021-01-26,2021,2021-01-26,nakashima-68876,janvier,2021-01-26T15:15:00+00:00,2021-01-24T07:37:00+00:00,0.0,2021-01-28T23:00:00+00:00,2021-01-26,1.93,1.85,0.48941798941798953,-0.042334363826560285,0.5639638067324609,0.29959918882006936,0.9666666666666667,0.9666666666666667,0.7087412363873243,0.5936833407054053,8.762379460902636e-09,9,6,False,False,False,5b353f788f6c03d25bb7f55e169c3fc0a4a8664d764731e5abfa574f2526cf9e,a78516ecb8fcb035be18c1e49bdfad7341f1cef1de253b5278d5a4a58f3c63a9,1.65,2.18,True,2021-01-26T14:45:00+00:00,2021-01-26T14:45:00+00:00
te:1917574,2021-01-26,2021,2021-01-26,maden,fabbiano,2021-01-26T09:40:00+00:00,2021-01-24T07:37:00+00:00,1.0,2021-01-28T23:00:00+00:00,2021-01-26,1.88,1.9,0.5026455026455027,0.010582109330537048,0.6016947242134055,0.4019493688618748,0.0,0.0,0.5539474723029217,0.5000000000000001,0.0008760683352564413,5,3,False,False,False,f564f57982dfa3321d3b9ed6e7cfcfcf7256b11802ac466629a523e76f1635a2,dad213d0e87d43410fa4954d64a324f3a7dd0c4b22dd2bef3766d3c87ed4b869,1.7,2.11,True,2021-01-26T06:29:00+00:00,2021-01-26T06:29:00+00:00
te:1917576,2021-01-26,2021,2021-01-26,couacaud,rodionov-f5e38,2021-01-26T09:40:00+00:00,2021-01-24T07:37:00+00:00,1.0,2021-01-28T23:00:00+00:00,2021-01-26,1.66,2.14,0.5631578947368422,0.2539882266653086,0.6135526165496096,0.2082820755577618,0.0,0.0,0.5000000000012275,0.5164746850143085,0.009690932148442688,3,3,False,False,False,5ab66abed9883f83dc8e7fa9abe8eea04cfb248d68d045046381ed0ca00287b8,6eaece2d97b42e72d3c59a9873a717f47d52497917df049bb969ed006b9cb42b,1.61,2.23,True,2021-01-26T06:29:00+00:00,2021-01-26T06:29:00+00:00
te:1919961,2021-02-05,2021,2021-02-05,taberner,bagnis,2021-02-05T14:55:00+00:00,2021-02-04T14:38:00+00:00,1.0,2021-02-07T23:00:00+00:00,2021-02-05,1.77,2.01,0.5317460317460317,0.1271551754852466,0.6171068986689211,0.35013124752793634,0.6833333333333333,0.05,0.5834185220956385,0.5677521067880695,1.3137760251913377e-07,10,8,False,False,False,acf87a3f40ce0e6b83a3ecf00f91a5972e6a66ff776884946d4cc5ece73eeff0,8c5fbb6a82ab3b1d5d442571ab26ffa1a4a8140f6c47a2f9cae0238a2d14e7c2,1.76,2.04,True,2021-02-05T13:42:00+00:00,2021-02-05T13:42:00+00:00
te:1924272,2021-02-26,2021,2021-02-26,diez-fe7f1,bonadio,2021-02-26T14:20:00+00:00,2021-02-24T21:13:00+00:00,0.0,2021-02-28T23:00:00+00:00,2021-02-26,1.83,1.95,0.5158730158730157,0.0635134057223252,0.614315761705484,0.4019766609272538,0.25,0.25,0.5538796807622228,0.5350813566364511,1.3580726265782772e-09,8,12,False,False,False,6f1b5c20e820ad4dc0ef8024b6b61c0d2e62db086c6f8dcd53f260c00311cd1a,df700a11eb27dce17bbb5538065caa791ce1ec33871aea62bdf898f58570723f,1.84,1.96,True,2021-02-26T07:02:00+00:00,2021-02-26T07:02:00+00:00
te:1924590,2021-03-02,2021,2021-03-02,durasovic,molleker,2021-03-02T07:10:00+00:00,2021-02-28T11:13:00+00:00,1.0,2021-03-04T23:00:00+00:00,2021-03-02,1.67,2.12,0.5593667546174144,0.23859246225525782,0.60578611919354,0.19104091619453628,0.0,0.0,0.5000000000000001,0.5446784970961969,0.008788900646411607,9,15,False,False,False,305de32868459f41d38d7d30f0a3a3936196697fd08116bc323d83508b6d26c4,e2978a7b861e688c7d80ae1a63fbb16d40be88624a4816a9258f2f87190f1bab,1.7,2.11,True,2021-03-02T01:03:00+00:00,2021-03-02T01:03:00+00:00
te:1924594,2021-03-02,2021,2021-03-02,quiroz-12961,lee-42da3,2021-03-02T09:00:00+00:00,2021-02-28T11:13:00+00:00,0.0,2021-03-04T23:00:00+00:00,2021-03-02,1.81,1.97,0.5211640211640212,0.08470669747216275,0.594217820214515,0.2967227427289591,1.1333333333333333,1.1333333333333333,0.567757015545204,0.5000000000000001,0.007212711379293066,25,0,False,True,False,44b959fc092f9641ea25268caf28d82fb84681cf3ca0286810326e01c14f206d,c56362c05900884b39fa03aaf3f3856c96e9e5cbcf318bf8c3a14f2a9c341e19,1.91,1.9,True,2021-03-02T08:33:00+00:00,2021-03-02T08:33:00+00:00
te:1975716,2021-08-31,2021,2021-08-31,sousa-16efd,moriya,2021-08-31T09:55:00+00:00,2021-08-30T04:05:00+00:00,1.0,2021-09-02T22:00:00+00:00,2021-08-31,1.87,1.92,0.5065963060686015,0.02638675517319463,0.5979609725089754,0.3705895660670259,0.5333333333333333,0.5333333333333333,0.5612207088800758,0.5000000000000001,0.013855664890325997,68,65,False,False,False,f23d146a4d50c66badeae43f84e1406341b72439870c52ae235b257e1a99460e,bae0ecda09aaac2a83530f14077f64c96e80abd1cb4bf754152105a570f026bf,1.96,1.84,True,2021-08-31T05:34:00+00:00,2021-08-31T05:34:00+00:00
te:1985032,2021-09-28,2021,2021-09-28,zeppieri,rodriguez-taverna,2021-09-28T09:05:00+00:00,2021-09-27T14:34:00+00:00,1.0,2021-09-30T22:00:00+00:00,2021-09-28,1.87,1.92,0.5065963060686015,0.02638675517319463,0.5974981712580744,0.36866482766534786,1.45,0.7833333333333333,0.651478913000976,0.5789948202322807,3.329891917758232e-12,108,151,False,False,False,d38433b21e818269cdcb27d32894d4d6258a3feb539c7b09767c7273ed79180b,490d99d7663854693825e5fa6ea6140548e6144cc57cb3cefa63a4448014473c,1.94,1.86,True,2021-09-28T08:56:00+00:00,2021-09-28T08:56:00+00:00
