event_id,date,year,sample_date,player1,player2,start_at,opening_at,y,label_available_at,label_source_date,odds_a,odds_b,market_p,market_logit,kernel_p,structure_gap,workload_total,workload_difference,hold1,hold2,kernel_residual,history_sets_player1,history_sets_player2,history_missing_player1,history_missing_player2,current_event_history_inconsistency,source_sha256,history_feature_sha256,close_a,close_b,closing_valid,close_a_at,close_b_at,p_calibration,p_set_shape,p_workload
te:2524939,2024-01-02,2024,2024-01-02,kolar-d6d52,samrej-f05ce,2024-01-02T03:10:00+00:00,2023-12-31T09:41:00+00:00,1.0,2024-01-04T23:00:00+00:00,2024-01-02,1.99,1.83,0.4790575916230366,-0.08381867188307154,0.614260480081824,0.5490754219218171,0.0,0.0,0.5416093276254179,0.5631222804987749,2.6759113071206375e-07,164,112,False,False,False,cac2bfbe1c323506cd0cca35fd32064fd13cea1b06d84b555156e76099af2557,b1e7120019831a2f308d89800d6aba0b0ce9cc3daee26fbcf393882ca2148608,1.93,1.9,True,2024-01-02T02:50:00+00:00,2024-01-02T02:50:00+00:00,0.4939806103987189,0.49583550305198437,0.48753508967822445
te:2525291,2024-01-02,2024,2024-01-02,gigante-f720d,nava-337db,2024-01-01T23:10:00+00:00,2024-01-01T07:47:00+00:00,1.0,2024-01-04T23:00:00+00:00,2024-01-02,1.77,2.07,0.5390625,0.15656906069153992,0.6433439946687037,0.4333387576792758,0.0,0.0,0.7165780619397009,0.7632032897975498,6.558689499835957e-08,143,168,False,False,False,8841edc5d79013ef0c3612a591980a246efe2e7c1bb52e4be4c38709e2dc7ee7,766661f1ff65567487735a6f3ebd0bb9114c7deee6d075a05c40ffac74375e28,1.75,2.12,True,2024-01-01T12:24:00+00:00,2024-01-01T21:04:00+00:00,0.5505980104052847,0.5514880795522858,0.5432820204670863
te:2525363,2024-01-02,2024,2024-01-02,gakhov,weber-173d1,2024-01-02T06:30:00+00:00,2024-01-01T12:07:00+00:00,0.0,2024-01-04T23:00:00+00:00,2024-01-02,1.69,2.18,0.5633074935400517,0.2545963478660157,0.6298031126066049,0.27677591080447683,0.0,0.0,0.6884038970877607,0.6583920829727635,7.2405414996978834e-12,148,122,False,False,False,1d9aae817a30375f692d89497a8689dbe7ec79549b1e38ff1e128599ea160c4f,56204753233d70266ede836b1fb723a8e843c43b1d27a5913f5608106f19b085,1.81,2.05,True,2024-01-02T05:44:00+00:00,2024-01-02T02:33:00+00:00,0.573396582766344,0.572602929755231,0.5644701374597005
te:2526613,2024-01-05,2024,2024-01-05,pouille,hong-0ce56,2024-01-05T04:10:00+00:00,2024-01-04T09:57:00+00:00,0.0,2024-01-07T23:00:00+00:00,2024-01-05,1.66,2.29,0.579746835443038,0.3217342151976963,0.5943193661332743,0.06011637913900669,1.3666666666666667,0.3,0.5675877147103587,0.5000000000000001,0.010900791615988115,67,147,False,False,False,46417035bc635494ea68385cad363deb52cc8740cc881e4a19909d675069f3a4,312faf9abc93da16ae450e02ca135b8128c8b47067c9742721bdc46edb7a64d9,1.98,1.89,True,2024-01-05T02:24:00+00:00,2024-01-05T02:24:00+00:00,0.5888389970776757,0.5856357608369669,0.5883456831571579
te:2526615,2024-01-05,2024,2024-01-05,vacherot,hsu-b2ce0,2024-01-05T05:30:00+00:00,2024-01-04T09:57:00+00:00,1.0,2024-01-07T23:00:00+00:00,2024-01-05,1.81,2.06,0.5322997416020672,0.12937913752375527,0.6180468967129777,0.3518873668978316,0.9833333333333333,0.15,0.6133041742667383,0.5883317207329068,1.8128769596614802e-09,214,119,False,False,False,1404a43dfef185ebbe849ab88a8eaaa92e3b60239ec125e408ef55f86ed5e83c,50b7b5633a3a6c853df3845bfff903b25c7a2be4979088235512e473b2bdfda9,1.8,2.09,True,2024-01-05T02:20:00+00:00,2024-01-05T02:20:00+00:00,0.5442322609976341,0.5440991779839497,0.5432850005800363
te:2526643,2024-01-05,2024,2024-01-05,cazaux,mayot,2024-01-05T09:40:00+00:00,2024-01-04T13:36:00+00:00,1.0,2024-01-07T23:00:00+00:00,2024-01-05,1.75,2.15,0.5512820512820513,0.20585205420414893,0.6248636928318468,0.3043920345706052,0.23333333333333334,0.23333333333333334,0.6437338141783585,0.680359658621583,7.799770829208796e-10,189,161,False,False,False,6ac5ed4857230f64a76324e4893be1da83482ab548d78b55449fc2a245fa44e3,2c7e8ae3912b8ca03a7d8cdfc5290d7f266f466f0a79c8f92cc6357cea9022b9,1.78,2.12,True,2024-01-05T07:49:00+00:00,2024-01-05T07:49:00+00:00,0.562092695370307,0.561534290122103,0.5566269766190436
te:2526683,2024-01-05,2024,2024-01-05,mensik,nakashima-68876,2024-01-05T09:40:00+00:00,2024-01-04T14:50:00+00:00,1.0,2024-01-07T23:00:00+00:00,2024-01-05,1.73,2.17,0.5564102564102563,0.22660575904268024,0.6621654688029265,0.44635349559421766,0.9833333333333333,0.2833333333333333,0.7490930243887861,0.7574226566047119,3.3743563498944695e-11,151,125,False,False,False,4e2fb68a7af661e3f4f61385c712b0be9fdd5e7eac3c8cc6b843e9c81c0baa42,edab5626a48f46aa1a8accb932a7a55119469067f7c11249f3971fd9810950e5,1.79,2.1,True,2024-01-05T07:54:00+00:00,2024-01-05T07:54:00+00:00,0.5669141066309695,0.568077874458311,0.5683233435498185
te:2526705,2024-01-05,2024,2024-01-05,gerasimov,kwiatkowski,2024-01-05T12:05:00+00:00,2024-01-04T18:15:00+00:00,1.0,2024-01-07T23:00:00+00:00,2024-01-05,1.73,2.17,0.5564102564102563,0.22660575904268024,0.6196684860573708,0.2615355985775615,0.9833333333333333,0.9833333333333333,0.6385172846613465,0.6872486857576103,6.710653144281764e-09,122,141,False,False,False,911e01dfe7b5af3c89098fc61d69530e8e602499d5c99524541393c7ec4ff6b3,434eaf17fa06987db761db545cf535e86031abcb34c090531af3f9bd3e360eed,1.72,2.2,True,2024-01-05T08:35:00+00:00,2024-01-05T11:51:00+00:00,0.5669141066309695,0.5658861239609568,0.5714566418598722
te:2526707,2024-01-05,2024,2024-01-05,elias-3e14c,faria-4754c,2024-01-05T15:05:00+00:00,2024-01-04T18:19:00+00:00,1.0,2024-01-07T23:00:00+00:00,2024-01-05,1.77,2.11,0.5438144329896907,0.17570840090223716,0.588955831216766,0.18394211514429748,0.0,0.0,0.5789460693484851,0.6638132443768837,2.0480006579504106e-12,91,176,False,False,False,12f39b713db988867d2709b75007dd56c454252dcd99489d6c06846f61460edc,75de87201090fc4fa76a13aed350033ace99e334f7c290244add4a6bd6fa7025,1.83,2.05,True,2024-01-05T09:35:00+00:00,2024-01-05T11:34:00+00:00,0.5550691514093071,0.5530164089443321,0.5447795495847189
te:2526711,2024-01-05,2024,2024-01-05,kasnikowski,sousa-16efd,2024-01-05T17:25:00+00:00,2024-01-04T21:22:00+00:00,1.0,2024-01-07T23:00:00+00:00,2024-01-05,1.66,2.29,0.579746835443038,0.3217342151976963,0.6525007957365815,0.30831576840529173,0.5166666666666667,0.5166666666666667,0.726052117230916,0.7379116572736577,8.789189653857221e-10,160,153,False,False,False,0b25e67cf72e22c7f5d7ce7d754f82caf1c2bf6063a23692518bc5c77ad4c115,ea0097e54ec56f91a21d104c633504833a09f849e24d4189343217cfc6272af9,1.69,2.26,True,2024-01-05T16:40:00+00:00,2024-01-05T16:40:00+00:00,0.5888389970776757,0.5885420066855721,0.5876404356670605
te:2527999,2024-01-09,2024,2024-01-09,casanova-dbdaf,weis-6ba1c,2024-01-09T13:10:00+00:00,2024-01-08T14:58:00+00:00,0.0,2024-01-11T23:00:00+00:00,2024-01-09,1.91,1.91,0.5,0.0,0.62905606619592,0.5281694588092312,0.0,0.0,0.6474250519199193,0.6639251025901577,1.1063427951540916e-11,155,209,False,False,False,9100ec443591bb4acefc6155d74fb8e277cb84438e1cec6a3f69f6c15e50601e,03aaf09188f957ee4f39dc5e2f761e3b21cfa8aa8ba63f61e7038fd9b039149c,1.98,1.86,True,2024-01-09T08:59:00+00:00,2024-01-09T08:59:00+00:00,0.5137789481259278,0.515534172134329,0.5072465895297664
te:2528007,2024-01-09,2024,2024-01-09,sakamoto-b1d5b,taberner,2024-01-09T15:15:00+00:00,2024-01-07T20:28:00+00:00,1.0,2024-01-11T23:00:00+00:00,2024-01-09,2.0,1.83,0.47780678851174935,-0.08883121370661573,0.6102675419607736,0.5372681694113771,0.0,0.0,0.6007959393181852,0.5588190687051126,3.874468024189781e-09,139,113,False,False,False,98ef3a9a124c1d8223176f592ca8b31e40f2aab383937279634882831b61243a,da470de97e9bd38f945868c04c7e8e34093093711cc1c0cb725309cf960d4c6c,1.99,1.85,True,2024-01-08T22:54:00+00:00,2024-01-08T22:54:00+00:00,0.49279660756810445,0.49449962159684985,0.4861973077697673
te:2528587,2024-01-09,2024,2024-01-09,noguchi-08bde,uchida-ea757,2024-01-09T06:40:00+00:00,2024-01-08T12:38:00+00:00,1.0,2024-01-11T23:00:00+00:00,2024-01-09,1.85,1.96,0.5144356955380577,0.05775883415219216,0.5936346117054679,0.321252438090992,1.3666666666666667,0.43333333333333335,0.699283586563691,0.6139988024813563,3.361808054158644e-11,120,117,False,False,False,893ade75a3198514e9550c42022fa0a28dd72357ee817ca519e88bf756944842,0727fe28becd06327e6f5040168d8baa217ee8928703fc81bc7a77fc07b5a5ab,1.88,1.95,True,2024-01-08T23:15:00+00:00,2024-01-09T02:31:00+00:00,0.5274004540751843,0.5267665759470036,0.530584431913822
te:2528805,2024-01-09,2024,2024-01-09,giustino-1d545,vrbensky,2024-01-09T13:45:00+00:00,2024-01-09T00:23:00+00:00,1.0,2024-01-11T23:00:00+00:00,2024-01-09,1.72,2.15,0.5555555555555556,0.22314355131420988,0.5873926438955036,0.13005351507464152,0.3333333333333333,0.3333333333333333,0.6227686636140509,0.7175313585444358,3.1590008386928048e-12,160,198,False,False,False,31d82d4cd52848ace7bc85a5eef2df682f6d07baac1e3cb00e0ccd6043072dd6,14d545c799c2f99c1ded6635b854c98dd6bf602c576e73ab4f71697dbe2e1b88,1.74,2.14,True,2024-01-09T11:03:00+00:00,2024-01-09T11:03:00+00:00,0.5661106360295568,0.5635144678715083,0.559988799096512
te:2529281,2024-01-09,2024,2024-01-09,descotte,ficovich,2024-01-09T19:30:00+00:00,2024-01-09T06:19:00+00:00,1.0,2024-01-11T23:00:00+00:00,2024-01-09,2.03,1.8,0.4699738903394256,-0.12024912815157689,0.6243692782493677,0.6283845757599757,0.0,0.0,0.6300175107132306,0.6562878941814689,4.35789093700123e-09,149,147,False,False,False,9ce7d217713b0db5d3cd28f91492d330e3f0db8feafa8ef4b5fb51326a1b54ac,7f8a114fc1422378d229ceab39a9774486f1e2a9b17630b65af7d12d4224b47f,2.06,1.79,True,2024-01-09T16:58:00+00:00,2024-01-09T16:58:00+00:00,0.4853778135708646,0.48812170157925433,0.47983384255246075
te:2530325,2024-01-12,2024,2024-01-12,vacherot,fery,2024-01-12T05:00:00+00:00,2024-01-11T10:00:00+00:00,,,,1.72,2.18,0.558974358974359,0.237000585975636,0.6153554133340343,0.23287966636263163,0.95,0.95,0.5334047293415342,0.530430547802325,1.1373335981196275e-06,221,112,False,False,False,f4ad9512993853fe516c9c1a5e65e952cb8685538a98919e9a611d969bb843a1,4f6a472d0455c7dc6f1384bcd5c2d1aeacdaf8f20d60620af988d7ce36de326b,1.71,2.22,True,2024-01-12T00:34:00+00:00,2024-01-12T00:34:00+00:00,0.5693242926938185,0.5679768162349206,0.5730745336226757
te:2530327,2024-01-12,2024,2024-01-12,guinard,noguchi-08bde,2024-01-12T05:10:00+00:00,2024-01-11T13:10:00+00:00,0.0,2024-01-14T23:00:00+00:00,2024-01-12,1.88,1.97,0.5116883116883117,0.04676176590803954,0.6141416017997121,0.4179932993532231,0.75,0.75,0.5000000005296736,0.5118816624016616,0.008755955258224396,145,123,False,False,False,b0a4393c0d9b6643868c7bd753077285fe603da33b2065bd205614eed9abedc8,8118cb55c7065f0550681044dc314de0bddfc4a39d650cc3312c9b29bf5abd09,1.87,2.0,True,2024-01-12T01:32:00+00:00,2024-01-12T01:32:00+00:00,0.524809490194738,0.5253204554571765,0.527670079328506
te:2530423,2024-01-12,2024,2024-01-12,riedi-a3a3d,elias-3e14c,2024-01-12T15:40:00+00:00,2024-01-11T20:29:00+00:00,0.0,2024-01-14T23:00:00+00:00,2024-01-12,1.68,2.25,0.5725190839694657,0.2921364228011615,0.619568390226489,0.19558024465687018,1.75,1.75,0.5879350343749139,0.5993747692842972,2.8740518298597806e-10,91,101,False,False,False,7b5822f5a2e2484dc7184f74edaa2fade3db65ce2a7c01f366905db5736c9459,472fc716d722d56c034281ed7f998d99c7f26fdca377a9d84bd3771da45ceea6,1.69,2.27,True,2024-01-12T15:26:00+00:00,2024-01-12T14:29:00+00:00,0.5820508574354272,0.580373883613337,0.596427176924124
te:2530479,2024-01-12,2024,2024-01-12,bueno-01b7e,houkes,2024-01-12T15:05:00+00:00,2024-01-12T04:10:00+00:00,0.0,2024-01-14T23:00:00+00:00,2024-01-12,1.98,1.88,0.4870466321243523,-0.05182506786458622,0.6050002113014682,0.4781686451934389,1.7,1.0333333333333334,0.5000000000000001,0.5465990091092523,0.0156722435242114,156,174,False,False,False,7068684240670568fb214656bc035cca85f4e5a5466796de3c033cd72bdebc82,801cb79cc8834b759bb67ce940a0877ed626828090b3a575021aa6d6cb519a80,1.89,1.98,True,2024-01-12T11:31:00+00:00,2024-01-12T11:31:00+00:00,0.5015387872486115,0.5025964272864124,0.5132455271372791
